message,severity,attributes,tags,timestamp
Bayesian: z=-0.7768 PostUp=0.0488 PostDown=0.9512,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.590535729Z
Market: YES=0.11 NO=0.89,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.590541380Z
Final: Up=0.0488 Down=0.9512,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.590547932Z
Edge: 0.0553 (Min Req: 0.001),info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.590552798Z
SignedScore: -1.9 (-3.4) (Min Req: 1).,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.590557771Z
ScoreDelta: -3.4195627368623187,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.590562208Z
PriceDelta: N/A,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.590566459Z
Balance: USDC=24.13,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.590571169Z
TP: price=0.99 timeRiskLow=0.85 maxLoss=0.1,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.590576348Z
Micro: cvdS=-1.0 | cvd=12 | obi=-0.5522 | vpinProxy=0.5422 | deepImb=0.7711 | macd=-1.0,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.590581793Z
